 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
       375.0000    -2791.42067   -2729.79330      61.62737        2.75592   -2731.05657     596.33837
       380.0000    -2792.22062   -2732.22179      59.99883        2.73890   -2732.49646     591.48261
       385.0000    -2788.07713   -2726.96613      61.11100        2.77887   -2729.11477     604.59120
       390.0000    -2790.79758   -2728.21847      62.57911        2.80476   -2726.92529     614.76537
       395.0000    -2792.66904   -2731.07374      61.59530        2.75660   -2730.99912     598.79146
       400.0000    -2795.41902   -2731.95057      63.46844        2.75646   -2731.01037     599.30943
       405.0000    -2789.61043   -2728.40258      61.20784        2.79365   -2727.86498     605.19303
       410.0000    -2789.80291   -2727.61181      62.19110        2.82181   -2725.48273     613.85721
       415.0000    -2790.29895   -2729.62092      60.67802        2.76238   -2730.50995     599.05289
       420.0000    -2793.05158   -2729.55145      63.50013        2.78371   -2728.70547     606.71198
       425.0000    -2792.28349   -2730.75022      61.53327        2.77064   -2729.81088     601.51017
       430.0000    -2790.77068   -2731.00088      59.76981        2.76390   -2730.38168     598.16763
       435.0000    -2788.50337   -2728.94023      59.56314        2.77412   -2729.51671     604.98196
       440.0000    -2789.36931   -2726.18296      63.18636        2.80301   -2727.07260     611.21160
       445.0000    -2789.90270   -2732.53848      57.36423        2.78352   -2728.72172     600.75405
       450.0000    -2792.05692   -2730.74506      61.31186        2.75526   -2731.11221     591.45126
       455.0000    -2787.07263   -2727.39130      59.68134        2.77019   -2729.84964     597.75941
       460.0000    -2789.24851   -2728.52889      60.71962        2.77223   -2729.67708     596.35680
       465.0000    -2792.10233   -2733.43580      58.66653        2.76521   -2730.27060     594.57673
       470.0000    -2791.45921   -2733.69789      57.76133        2.72713   -2733.49210     583.56117
       475.0000    -2790.75523   -2732.24215      58.51309        2.74456   -2732.01695     590.13495
       480.0000    -2786.72402   -2725.36407      61.35994        2.77547   -2729.40283     599.08959
       485.0000    -2787.96620   -2725.27704      62.68916        2.80687   -2726.74617     613.96944
       490.0000    -2788.64836   -2724.63680      64.01155        2.81280   -2726.24504     611.41574
       495.0000    -2790.77569   -2727.99356      62.78213        2.81134   -2726.36825     613.47592
       500.0000    -2793.42771   -2734.23841      59.18930        2.74717   -2731.79660     595.14267
