 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
       390.0000    -2675.83216   -2616.06078      59.77138        2.79427   -2616.02329     613.19149
       395.0000    -2679.09414   -2619.61298      59.48116        2.77623   -2617.50842     609.26762
       400.0000    -2674.32787   -2616.34135      57.98652        2.76794   -2618.19123     606.12670
       405.0000    -2674.51922   -2617.71903      56.80019        2.77866   -2617.30906     606.53710
       410.0000    -2679.87106   -2621.65342      58.21764        2.74733   -2619.88814     599.26372
       415.0000    -2677.39116   -2619.20506      58.18609        2.74877   -2619.76944     603.23710
       420.0000    -2675.61393   -2618.05074      57.56319        2.76655   -2618.30580     602.93040
       425.0000    -2678.21518   -2619.51681      58.69836        2.75057   -2619.62134     594.80375
       430.0000    -2676.84814   -2619.88161      56.96653        2.77324   -2617.75479     606.57448
       435.0000    -2681.77401   -2623.40259      58.37142        2.71985   -2622.15005     586.87690
       440.0000    -2676.37743   -2618.81954      57.55789        2.73756   -2620.69281     596.64639
       445.0000    -2674.18104   -2616.80234      57.37870        2.78222   -2617.01574     606.88982
       450.0000    -2677.27256   -2621.15382      56.11873        2.74843   -2619.79791     597.75761
       455.0000    -2677.19522   -2619.20417      57.99105        2.74753   -2619.87124     600.91601
       460.0000    -2674.58181   -2616.94444      57.63737        2.77312   -2617.76483     613.81240
       465.0000    -2681.93684   -2625.59481      56.34203        2.72651   -2621.60255     595.70214
       470.0000    -2680.12392   -2622.27615      57.84777        2.70672   -2623.23182     580.27210
       475.0000    -2673.44144   -2617.43947      56.00197        2.75189   -2619.51228     596.92873
       480.0000    -2675.98616   -2620.05667      55.92949        2.77145   -2617.90252     602.98356
       485.0000    -2680.48544   -2624.24061      56.24483        2.72457   -2621.76222     588.54374
       490.0000    -2679.84220   -2624.03581      55.80639        2.71786   -2622.31432     588.13178
       495.0000    -2679.18368   -2621.39248      57.79120        2.72823   -2621.46061     592.25664
       500.0000    -2676.88187   -2617.18049      59.70138        2.75500   -2619.25651     605.17087
