 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
         5.0000    -2679.65822   -2622.85535      56.80286        2.64970   -2627.92609     566.42643
        10.0000    -2678.32352   -2619.56091      58.76261        2.73634   -2620.79297     594.72138
        15.0000    -2675.37737   -2617.44947      57.92790        2.75592   -2619.18085     603.07257
        20.0000    -2679.07963   -2617.08988      61.98975        2.76806   -2618.18179     606.38601
        25.0000    -2679.71904   -2621.39173      58.32731        2.72935   -2621.36801     593.72232
        30.0000    -2680.82804   -2624.36412      56.46392        2.69748   -2623.99223     584.62759
        35.0000    -2680.69497   -2622.74905      57.94592        2.70523   -2623.35385     583.45810
        40.0000    -2677.43261   -2622.37552      55.05709        2.73920   -2620.55760     594.13002
        45.0000    -2682.03433   -2623.81838      58.21595        2.68693   -2624.86036     578.48868
        50.0000    -2680.89959   -2621.65560      59.24399        2.71171   -2622.82085     589.62021
 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
         5.0000    -2679.65822   -2622.85535      56.80286        2.64970   -2627.92609     566.42643
        10.0000    -2678.32352   -2619.56091      58.76261        2.73634   -2620.79297     594.72138
        15.0000    -2675.37737   -2617.44947      57.92790        2.75592   -2619.18085     603.07257
        20.0000    -2679.07963   -2617.08988      61.98975        2.76806   -2618.18179     606.38601
        25.0000    -2679.71904   -2621.39173      58.32731        2.72935   -2621.36801     593.72232
        30.0000    -2680.82804   -2624.36412      56.46392        2.69748   -2623.99223     584.62759
        35.0000    -2680.69497   -2622.74905      57.94592        2.70523   -2623.35385     583.45810
        40.0000    -2677.43261   -2622.37552      55.05709        2.73920   -2620.55760     594.13002
        45.0000    -2682.03433   -2623.81838      58.21595        2.68693   -2624.86036     578.48868
        50.0000    -2680.89959   -2621.65560      59.24399        2.71171   -2622.82085     589.62021
        55.0000    -2678.42098   -2621.58644      56.83454        2.72972   -2621.33827     595.62708
        60.0000    -2677.89924   -2621.71497      56.18427        2.73480   -2620.91972     597.90198
        65.0000    -2679.28687   -2623.52417      55.76270        2.71503   -2622.54748     587.67973
        70.0000    -2677.96592   -2620.49201      57.47391        2.72334   -2621.86286     592.47861
        75.0000    -2675.24493   -2615.12037      60.12456        2.76238   -2618.64933     606.10918
        80.0000    -2675.91045   -2615.71618      60.19427        2.78192   -2617.04014     615.10952
        85.0000    -2683.04704   -2625.05604      57.99100        2.74859   -2619.78463     602.87046
        90.0000    -2679.55985   -2618.80355      60.75629        2.74183   -2620.34128     600.27117
        95.0000    -2675.91442   -2617.41466      58.49976        2.77184   -2617.87007     611.76661
       100.0000    -2678.72737   -2622.09050      56.63687        2.74286   -2620.25595     593.17670
       105.0000    -2676.52085   -2619.22782      57.29303        2.73088   -2621.24241     593.72654
       110.0000    -2680.44788   -2623.12756      57.32032        2.72650   -2621.60281     592.74928
       115.0000    -2678.56479   -2619.07351      59.49129        2.74501   -2620.07877     600.84532
       120.0000    -2678.45508   -2619.93836      58.51672        2.74624   -2619.97774     600.90736
       125.0000    -2678.67665   -2622.06154      56.61512        2.73513   -2620.89258     594.70561
       130.0000    -2675.38932   -2618.59336      56.79595        2.73246   -2621.11234     591.92392
       135.0000    -2678.07720   -2620.01648      58.06072        2.76172   -2618.70335     602.10140
       140.0000    -2675.64800   -2616.17359      59.47440        2.78177   -2617.05244     605.92705
       145.0000    -2678.55689   -2618.64571      59.91118        2.79256   -2616.16435     612.32006
       150.0000    -2676.08585   -2619.08535      57.00050        2.75733   -2619.06460     600.12648
       155.0000    -2679.49414   -2620.14721      59.34693        2.74630   -2619.97312     592.24599
       160.0000    -2677.88451   -2620.03651      57.84799        2.71746   -2622.34712     589.49229
       165.0000    -2678.75249   -2619.40875      59.34374        2.73279   -2621.08523     593.41974
       170.0000    -2675.44848   -2618.10671      57.34177        2.77856   -2617.31732     613.31967
       175.0000    -2675.93497   -2616.96549      58.96948        2.77331   -2617.74909     603.61936
       180.0000    -2675.88761   -2615.76178      60.12583        2.79022   -2616.35688     612.20481
       185.0000    -2675.33205   -2618.02395      57.30810        2.77029   -2617.99807     605.50444
       190.0000    -2675.62649   -2618.32961      57.29688        2.76786   -2618.19767     603.50681
       195.0000    -2677.45480   -2619.53884      57.91596        2.75917   -2618.91344     607.03397
       200.0000    -2675.87412   -2617.60448      58.26964        2.75836   -2618.98037     605.05876
       205.0000    -2680.27628   -2623.78094      56.49533        2.76413   -2618.50469     609.81108
       210.0000    -2679.53424   -2625.78462      53.74962        2.70908   -2623.03720     583.36213
       215.0000    -2680.21284   -2620.61487      59.59797        2.69447   -2624.23990     582.09626
       220.0000    -2675.97237   -2620.38285      55.58952        2.73010   -2621.30646     594.53794
       225.0000    -2675.58981   -2619.46488      56.12494        2.75498   -2619.25865     597.22879
       230.0000    -2679.31757   -2621.88954      57.42803        2.74317   -2620.23065     593.58637
       235.0000    -2674.40781   -2617.17308      57.23473        2.72835   -2621.45095     591.89605
       240.0000    -2675.39294   -2618.09123      57.30171        2.78853   -2616.49593     606.18330
       245.0000    -2677.63682   -2619.13561      58.50121        2.75571   -2619.19803     602.60153
       250.0000    -2682.62077   -2625.47194      57.14883        2.71792   -2622.30943     587.30911
       255.0000    -2678.00817   -2620.24516      57.76302        2.70884   -2623.05691     581.14552
       260.0000    -2676.15939   -2619.13476      57.02464        2.74819   -2619.81720     595.78898
       265.0000    -2681.60547   -2624.36143      57.24404        2.72098   -2622.05775     588.57247
       270.0000    -2678.89771   -2622.73555      56.16216        2.71531   -2622.52381     583.70492
       275.0000    -2673.93402   -2619.02978      54.90424        2.74622   -2619.97933     595.14564
       280.0000    -2676.91686   -2620.18663      56.73022        2.75963   -2618.87532     596.36518
       285.0000    -2675.67862   -2618.18464      57.49398        2.76135   -2618.73381     594.92473
       290.0000    -2674.93213   -2619.51935      55.41278        2.75130   -2619.56153     595.52653
       295.0000    -2674.43284   -2614.85860      59.57424        2.76240   -2618.64759     596.85118
       300.0000    -2671.49517   -2613.34198      58.15319        2.81032   -2614.70213     613.86764
       305.0000    -2673.93395   -2615.83592      58.09803        2.80195   -2615.39133     607.50310
       310.0000    -2677.71027   -2620.57080      57.13946        2.77163   -2617.88736     602.81740
       315.0000    -2676.77044   -2623.36239      53.40805        2.72231   -2621.94830     587.80519
       320.0000    -2678.18499   -2621.30865      56.87634        2.72780   -2621.49585     583.46670
       325.0000    -2672.95673   -2614.82251      58.13422        2.78754   -2616.57775     607.15150
       330.0000    -2676.36051   -2618.58439      57.77612        2.77186   -2617.86835     605.15364
       335.0000    -2678.91249   -2618.03139      60.88110        2.77711   -2617.43609     600.41167
       340.0000    -2674.41618   -2618.18964      56.22654        2.77694   -2617.45022     605.67705
       345.0000    -2679.40085   -2620.25944      59.14141        2.75999   -2618.84547     596.82513
       350.0000    -2678.54771   -2620.08998      58.45772        2.75882   -2618.94181     595.42666
       355.0000    -2676.67332   -2619.82988      56.84344        2.74516   -2620.06686     594.46414
       360.0000    -2676.20479   -2616.60830      59.59649        2.78036   -2617.16841     608.26554
       365.0000    -2676.24691   -2619.67680      56.57011        2.75287   -2619.43159     594.80066
       370.0000    -2676.86143   -2620.54463      56.31680        2.72994   -2621.31947     587.33678
       375.0000    -2676.48849   -2619.01622      57.47227        2.73063   -2621.26315     585.58964
       380.0000    -2675.62009   -2615.93631      59.68378        2.75949   -2618.88709     595.84244
       385.0000    -2676.39305   -2617.15980      59.23325        2.79231   -2616.18528     611.87688
